model_type,WINDOW,HIDDEN_DIM,DROPOUT,LR,WEIGHT_DECAY,GATE_INIT,K_DIST,SIGMA_KM,K_CORR,folds_used,MAE_mean,MAE_std,RMSE_mean,RMSE_std,sMAPE_mean,sMAPE_std,MASE_mean,MASE_std
TGCN_C1_GATED,18,64,0.3,0.001,0.0001,0.8,8,60.0,8,5,37153.8765625,2731.8030943877247,61964.97421875,2239.77506986802,13.28537791967392,1.0403246266257224,0.3795730613843894,0.03905655517237312
TGCN_C1_GATED,12,64,0.0,0.001,0.0,0.8,8,60.0,8,5,38826.613671875,5007.588636668349,62097.89296875,6333.563406673896,13.817588686943054,2.3215253592739575,0.40259827802795034,0.09873428817553118
TGCN_C1_GATED,12,64,0.0,0.001,0.0,0.8,8,,8,5,39160.871875,2793.6238801497016,62297.4640625,3703.713066715163,14.093734323978424,1.2652304096579057,0.40152190844363655,0.055171040807748636
TGCN_C1_GATED,18,128,0.0,0.0005,0.0,0.8,8,60.0,8,5,38774.228125,3733.620785395617,62366.36875,3395.587958164547,13.976911306381226,1.4165895578096197,0.3947837983593323,0.03509764060709198
TGCN_C1_GATED,18,128,0.3,0.001,0.0001,0.8,8,,8,5,38847.13359375,3418.8809673906153,62449.734375,3468.503259459701,13.94546627998352,1.6177120137850474,0.39798399432100007,0.054825491117080696
TGCN_C1_GATED,18,128,0.3,0.001,0.0,0.8,8,,8,5,38855.21484375,4296.345522894965,62783.1796875,4375.560031020566,13.981782793998718,2.0231001656793484,0.39690379344567345,0.05092175590598947
TGCN_C1_GATED,18,64,0.0,0.001,0.0,0.8,8,,8,5,40254.675,4106.942123413522,62887.3140625,4034.6272599567224,14.846982955932617,2.3365668556785533,0.41233340890129444,0.06013707475053972
TGCN_C1_GATED,18,64,0.3,0.001,0.0,0.8,8,,8,5,37870.5921875,2322.9023301132056,63032.821875,1687.928709751357,13.33152323961258,0.630555466132667,0.3874894749270441,0.04292499759957564
TGCN_C1_GATED,12,128,0.0,0.0005,0.0001,0.8,8,,8,5,39069.196875,2243.0464662452064,63102.15625,2248.133314912048,13.819384574890137,0.7201364877041723,0.3999507175988338,0.045284757017990875
TGCN_C1_GATED,12,64,0.0,0.001,0.0001,0.8,8,,8,5,39694.39765625,2928.5226110813114,63144.07109375,3369.1928836602883,14.237954318523407,1.0038459741260104,0.40687609891068377,0.055001327194287915
TGCN_C1_GATED,18,64,0.3,0.001,0.0,0.8,8,60.0,8,5,38372.0953125,4597.03730491626,63509.54375,4472.684934432036,13.890771865844727,2.230696708338072,0.39229273873595416,0.05513855846436909
TGCN_C1_GATED,18,32,0.0,0.001,0.0,0.8,8,60.0,8,5,38270.17890625,3798.9809506730435,63530.6046875,2052.8173949009347,14.133058339357376,1.8644315429243048,0.3899385487189796,0.038569716815314355
TGCN_C1_GATED,12,128,0.3,0.0005,0.0,0.8,8,60.0,8,5,39234.7078125,4261.83765834873,63619.27890625,3863.557597928335,14.01209369301796,1.9293265146740077,0.4005208826591353,0.05070364745883091
TGCN_C1_GATED,12,64,0.3,0.001,0.0,0.8,8,60.0,8,5,38620.97734375,5701.6552697974585,63734.703125,5391.264739956216,14.066403061151505,3.206536319354966,0.39434752330567313,0.060652642606677194
TGCN_C1_GATED,18,128,0.3,0.0005,0.0001,0.8,8,60.0,8,5,38987.1546875,4180.991359162251,63754.6859375,4112.605620144543,14.132524728775024,2.120288049564258,0.3987949985936624,0.05616636104098312
TGCN_C1_GATED,18,64,0.3,0.001,0.0001,0.8,8,,8,5,38939.6796875,3568.143544140709,63822.0671875,2949.580796193782,13.956467807292938,1.746573762701956,0.3984733313252938,0.05166305307232598
TGCN_C1_GATED,12,128,0.0,0.0005,0.0001,0.8,8,60.0,8,5,39508.05546875,3641.330394118622,63950.421875,4572.228236737753,14.049896895885468,1.8847990581220886,0.40614043954407275,0.06926184432692006
TGCN_C1_GATED,18,32,0.0,0.001,0.0001,0.8,8,60.0,8,5,38503.4859375,3476.438635947083,64053.76796875,2763.04935296387,13.826026618480682,1.991408836315389,0.397299365195937,0.07693020350389021
TGCN_C1_GATED,12,64,0.3,0.001,0.0001,0.8,8,,8,5,39413.32265625,3371.7377064468465,64268.29140625,2792.2314865462804,14.187882244586945,1.4587643455623933,0.4027447255927572,0.04612798767483812
